eng;English
spa;Spanish
fra;French
fre;French
dut;Dutch
chi;Chinese
gre;Greek
zho;Mandarin Chinese
hin;Hindi
ara;Arabic
rus;Russian
jpn;Japanese
deu;German
ita;Italian
por;Portuguese
kor;Korean
tur;Turkish
nld;Dutch
swe;Swedish
pol;Polish
heb;Hebrew
tha;Thai
ell;Greek
ben;Bengali
tam;Tamil
tel;Telugu
kan;Kannada
mal;Malayalam
ind;Indonesian
vie;Vietnamese
fil;Filipino/Tagalog
swa;Swahili
fas;Persian (Farsi)
urd;Urdu
ron;Romanian
ces;Czech
hun;Hungarian
nor;Norwegian
dan;Danish
fin;Finnish
isl;Icelandic
msa;Malay
mya;Burmese
sin;Sinhala
nep;Nepali
mon;Mongolian
kaz;Kazakh
kat;Georgian
hye;Armenian
aze;Azerbaijani
pus;Pashto
prs;Dari
uzb;Uzbek
kir;Kyrgyz
